step,time,max_u_blade,max_F_ext_blade,max_F_int_blade,max_stress,max_u_obs,Blade_Elem,Wood_Elem
0,0.000000,1.36406e-02,0.00000e+00,1.68969e-08,2.40094e-03,0.00000e+00,131,384
1,0.001000,2.66160e-02,0.00000e+00,4.86475e-02,8.73191e+04,1.73923e-03,127,375
2,0.002000,3.89585e-02,1.39534e+02,2.72038e-01,1.59573e+05,6.52897e-03,124,366
3,0.003000,5.06990e-02,3.72117e+02,1.17009e-01,1.04121e+05,1.38105e-02,118,366
4,0.004000,6.18669e-02,2.88787e+02,7.40895e-02,5.09420e+04,2.24665e-02,117,366
5,0.005000,7.24902e-02,6.68819e+02,1.20029e-01,7.14016e+04,3.16435e-02,112,366
6,0.006000,8.25953e-02,2.66553e+02,6.75123e-02,1.35368e+05,4.05382e-02,112,366
7,0.007000,9.22077e-02,0.00000e+00,2.90510e-01,1.69630e+05,4.89991e-02,107,357
8,0.008000,1.01351e-01,6.08693e+02,5.81281e-01,1.58342e+05,5.71091e-02,100,357
9,0.009000,1.10049e-01,2.77186e+03,2.72157e-01,7.74581e+04,6.49944e-02,95,350
10,0.010000,1.18326e-01,5.95825e+02,2.95882e-01,1.38653e+05,7.24952e-02,87,350
11,0.011000,1.26192e-01,5.82768e+02,1.93795e-01,1.17607e+05,7.98400e-02,84,350
12,0.012000,1.33728e-01,7.09835e+02,3.50516e-01,1.55792e+05,8.68796e-02,79,343
13,0.013000,1.40799e-01,4.34866e+02,2.07391e-01,1.14746e+05,9.39779e-02,76,336
14,0.014000,1.47573e-01,4.04703e+02,2.13005e-01,7.38640e+04,1.02672e-01,74,336
15,0.015000,1.54249e-01,4.46435e+02,2.83614e-01,1.03769e+05,1.10942e-01,71,336
16,0.016000,1.60145e-01,2.71750e+00,1.34921e-01,6.67809e+04,1.18809e-01,70,336
17,0.017000,1.66080e-01,4.86907e+02,3.24306e-01,8.92636e+04,1.26337e-01,63,330
18,0.018000,1.71521e-01,4.68176e+02,3.41551e-01,1.00486e+05,1.34458e-01,60,324
19,0.019000,1.77084e-01,1.08929e+03,8.84164e-02,5.55247e+04,1.42440e-01,56,324
20,0.020000,1.81815e-01,9.15307e+01,4.95179e-01,1.27841e+05,1.50609e-01,51,324
21,0.021000,1.86930e-01,4.43174e+02,9.15383e-01,9.86670e+04,1.58772e-01,46,317
22,0.022000,1.91668e-01,4.80547e+02,5.24044e-01,4.68456e+04,1.67352e-01,44,317
23,0.023000,1.96267e-01,4.17661e+02,7.29070e-01,7.97427e+04,1.76274e-01,42,317
24,0.024000,2.00625e-01,4.03806e+02,1.96595e-01,6.67960e+04,1.85063e-01,38,317
25,0.025000,2.04763e-01,2.06448e+02,1.69162e-01,7.48301e+04,1.93658e-01,38,317
26,0.026000,2.08698e-01,6.04335e+02,3.08072e-01,4.28464e+04,2.01668e-01,34,317
27,0.027000,2.12442e-01,6.16562e+02,4.32760e-01,6.84913e+04,2.10068e-01,34,309
28,0.028000,2.16003e-01,1.37162e+02,1.36070e-01,5.61351e+04,2.18061e-01,33,306
29,0.029000,2.19391e-01,4.27765e+02,1.18889e+00,8.34622e+04,2.25861e-01,29,306
30,0.030000,2.22613e-01,4.88450e+02,5.04228e-01,4.71766e+04,2.33280e-01,29,306
31,0.031000,2.25679e-01,3.03558e+02,1.10491e+00,7.16053e+04,2.40338e-01,29,306
32,0.032000,2.28594e-01,1.82819e+02,4.16854e-01,5.70662e+04,2.46895e-01,27,296
33,0.033000,2.31368e-01,5.03243e+02,9.37023e-01,4.30138e+04,2.53787e-01,27,288
34,0.034000,2.34006e-01,3.58679e+02,6.47783e-01,3.82711e+04,2.60293e-01,27,288
35,0.035000,2.36524e-01,1.20168e+02,1.11778e-01,5.07959e+03,2.66663e-01,26,283
36,0.036000,2.39211e-01,1.37944e+02,1.11905e-01,6.34146e+03,2.72722e-01,24,281
37,0.037000,2.41795e-01,2.99994e+02,1.30122e-01,5.74470e+03,2.78485e-01,24,281
38,0.038000,2.44257e-01,1.57368e+02,1.04997e-01,6.24272e+03,2.83967e-01,24,281
39,0.039000,2.46599e-01,3.31828e+02,9.90812e-02,7.98237e+03,2.89182e-01,24,281
40,0.040000,2.48828e-01,2.03735e+02,6.70011e-02,3.46113e+03,2.94000e-01,21,281
41,0.041000,2.49412e-01,3.13923e+01,7.90127e-02,3.29968e+03,2.98916e-01,21,281
42,0.042000,2.49891e-01,3.10300e+02,8.77668e-02,3.90339e+03,3.03801e-01,21,275
43,0.043000,2.50346e-01,1.23036e+02,7.16240e-02,2.95523e+03,3.08391e-01,21,275
44,0.044000,2.50780e-01,1.46652e+01,9.38870e-02,3.34384e+03,3.12869e-01,21,275
45,0.045000,2.52050e-01,6.32817e+01,8.89128e-02,3.53121e+03,3.17129e-01,19,275
46,0.046000,2.53012e-01,2.89032e+02,2.38185e-01,8.46233e+03,3.21181e-01,16,275
47,0.047000,2.54313e-01,1.04835e+01,1.61459e-01,6.21185e+03,3.25035e-01,16,275
48,0.048000,2.55551e-01,5.54496e+01,6.95410e-02,4.07890e+03,3.28701e-01,16,275
49,0.049000,2.56728e-01,3.06571e-01,1.35192e-01,4.54376e+03,3.32189e-01,16,275
