Test_ID,penalty_stiffness,damping_factor,contact_damping,steel_E,steel_nu,steel_sigma_yield,steel_limit_strain,wood_E,wood_nu,wood_sigma_uts,wood_limit_strain,Frame,Max_U_Blade,Max_Stress,Max_U_Obs,Blade_Elem,Wood_Elem
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,0,0.013895418040526636,0.0010013646702385698,0.0,131,384
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,1,0.02758502179463474,77357543.00593613,0.0013348688497486756,127,375
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,2,0.04106929145282004,99961610.42448416,0.008232328906969772,122,374
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,3,0.054353472979301536,165022233.7201129,0.020397373415900893,117,373
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,4,0.06801590145357145,207109737.8583745,0.0361450047130751,107,370
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,5,0.08362241956597688,170403426.17453566,0.05279361597010976,106,361
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,6,0.098996585164528,141465945.06593564,0.06904283333588065,99,359
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,7,0.11414185755323512,115796831.43102382,0.08777589221573945,93,356
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,8,0.12412199017070795,162551359.35049018,0.10580289705626802,85,350
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,9,0.13776447354537064,104030507.35477717,0.12427623312364247,75,339
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,10,0.15263370363594114,125599843.13063028,0.14349548952957175,71,333
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,11,0.167478357684373,97694735.69623914,0.164584844591613,66,332
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,12,0.17801128374363534,170128631.0577009,0.1858436185443811,63,324
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,13,0.18846293253559573,119306291.66167496,0.20734620595015502,53,310
1,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,14,0.2034959189623748,179967926.87316373,0.22738475357940216,48,295
